Il,Ilce,Urun Adi,Verim (Kg/Dekar),Ortalama Sicaklik,Maksimal Sicaklik,Minimal Sicaklik,Ortalama Bagil Nem,Yagis Miktari,Yagisli Gun Sayisi,Guneslenme Saati,Atmosfer Basinci,Rakim
ADANA,SEYHAN,Bugday (Durum) Kuru,   300,18.44,24.18,13.37,64.83,60.5,4.92,9.21,100.992,27.0
ADANA,SEYHAN,Bugday (Durum) Sulu,   500,18.44,24.18,13.37,64.83,60.5,4.92,9.21,100.992,27.0
ADANA,SEYHAN,Bugday (Diger) Kuru,   300,18.44,24.18,13.37,64.83,60.5,4.92,9.21,100.992,27.0
ADANA,SEYHAN,Bugday (Diger) Sulu,   500,18.44,24.18,13.37,64.83,60.5,4.92,9.21,100.992,27.0
ADANA,YUREGIR,Bugday (Durum) Kuru,   324,18.44,24.18,13.37,64.83,60.5,4.92,9.21,100.992,27.0
ADANA,YUREGIR,Bugday (Durum) Sulu,   495,18.44,24.18,13.37,64.83,60.5,4.92,9.21,100.992,27.0
ADANA,YUREGIR,Bugday (Diger) Kuru,   324,18.44,24.18,13.37,64.83,60.5,4.92,9.21,100.992,27.0
ADANA,YUREGIR,Bugday (Diger) Sulu,   495,18.44,24.18,13.37,64.83,60.5,4.92,9.21,100.992,27.0
ADANA,ALADAG,Bugday (Durum) Kuru,   300,13.59,18.94,8.19,63.33,96.75,7.5,8.98,91.048,877.0
ADANA,ALADAG,Bugday (Durum) Sulu,   400,13.59,18.94,8.19,63.33,96.75,7.5,8.98,91.048,877.0
ADANA,ALADAG,Bugday (Diger) Kuru,   300,13.59,18.94,8.19,63.33,96.75,7.5,8.98,91.048,877.0
ADANA,ALADAG,Bugday (Diger) Sulu,   400,13.59,18.94,8.19,63.33,96.75,7.5,8.98,91.048,877.0
ADANA,CEYHAN,Bugday (Durum) Kuru,   350,18.18,23.31,13.62,67.75,81.5,5.75,9.1,100.955,30.0
ADANA,CEYHAN,Bugday (Durum) Sulu,   500,18.18,23.31,13.62,67.75,81.5,5.75,9.1,100.955,30.0
ADANA,CEYHAN,Bugday (Diger) Kuru,   350,18.18,23.31,13.62,67.75,81.5,5.75,9.1,100.955,30.0
ADANA,CEYHAN,Bugday (Diger) Sulu,   500,18.18,23.31,13.62,67.75,81.5,5.75,9.1,100.955,30.0
ADANA,FEKE,Bugday (Durum) Kuru,   200,12.57,17.9,7.39,62.17,80.42,6.5,9.0,94.717,553.0
ADANA,FEKE,Bugday (Durum) Sulu,   350,12.57,17.9,7.39,62.17,80.42,6.5,9.0,94.717,553.0
ADANA,FEKE,Bugday (Diger) Kuru,   200,12.57,17.9,7.39,62.17,80.42,6.5,9.0,94.717,553.0
ADANA,FEKE,Bugday (Diger) Sulu,   350,12.57,17.9,7.39,62.17,80.42,6.5,9.0,94.717,553.0
ADANA,IMAMOGLU,Bugday (Durum) Kuru,   324,17.37,23.63,11.78,66.0,100.0,6.83,8.68,82.857,1650.0
ADANA,IMAMOGLU,Bugday (Durum) Sulu,   490,17.37,23.63,11.78,66.0,100.0,6.83,8.68,82.857,1650.0
ADANA,IMAMOGLU,Bugday (Diger) Kuru,   324,17.37,23.63,11.78,66.0,100.0,6.83,8.68,82.857,1650.0
ADANA,IMAMOGLU,Bugday (Diger) Sulu,   490,17.37,23.63,11.78,66.0,100.0,6.83,8.68,82.857,1650.0
ADANA,KARAISALI,Bugday (Durum) Kuru,   351,15.57,21.13,9.93,62.75,81.0,6.75,9.08,98.282,250.0
ADANA,KARAISALI,Bugday (Durum) Sulu,   420,15.57,21.13,9.93,62.75,81.0,6.75,9.08,98.282,250.0
ADANA,KARAISALI,Bugday (Diger) Kuru,   351,15.57,21.13,9.93,62.75,81.0,6.75,9.08,98.282,250.0
ADANA,KARAISALI,Bugday (Diger) Sulu,   420,15.57,21.13,9.93,62.75,81.0,6.75,9.08,98.282,250.0
ADANA,KARATAS,Bugday (Durum) Kuru,   250,19.44,22.87,16.23,70.75,84.92,5.5,9.29,101.202,10.0
ADANA,KARATAS,Bugday (Durum) Sulu,   450,19.44,22.87,16.23,70.75,84.92,5.5,9.29,101.202,10.0
ADANA,KARATAS,Bugday (Diger) Kuru,   250,19.44,22.87,16.23,70.75,84.92,5.5,9.29,101.202,10.0
ADANA,KARATAS,Bugday (Diger) Sulu,   450,19.44,22.87,16.23,70.75,84.92,5.5,9.29,101.202,10.0
ADANA,KOZAN,Bugday (Durum) Kuru,   325,16.81,22.8,11.23,64.25,101.5,7.0,8.92,99.841,121.0
ADANA,KOZAN,Bugday (Durum) Sulu,   500,16.81,22.8,11.23,64.25,101.5,7.0,8.92,99.841,121.0
ADANA,KOZAN,Bugday (Diger) Kuru,   325,16.81,22.8,11.23,64.25,101.5,7.0,8.92,99.841,121.0
ADANA,KOZAN,Bugday (Diger) Sulu,   500,16.81,22.8,11.23,64.25,101.5,7.0,8.92,99.841,121.0
ADANA,POZANTI,Bugday (Durum) Kuru,   200,10.4,15.47,4.88,60.42,70.83,7.17,8.71,92.097,783.0
ADANA,POZANTI,Bugday (Durum) Sulu,   300,10.4,15.47,4.88,60.42,70.83,7.17,8.71,92.097,783.0
ADANA,POZANTI,Bugday (Diger) Kuru,   200,10.4,15.47,4.88,60.42,70.83,7.17,8.71,92.097,783.0
ADANA,POZANTI,Bugday (Diger) Sulu,   300,10.4,15.47,4.88,60.42,70.83,7.17,8.71,92.097,783.0
ADANA,SAIMBEYLI,Bugday (Durum) Kuru,   220,9.67,14.81,4.37,62.17,63.0,5.92,8.55,89.147,1050.0
ADANA,SAIMBEYLI,Bugday (Durum) Sulu,   300,9.67,14.81,4.37,62.17,63.0,5.92,8.55,89.147,1050.0
ADANA,SAIMBEYLI,Bugday (Diger) Kuru,   220,9.67,14.81,4.37,62.17,63.0,5.92,8.55,89.147,1050.0
ADANA,SAIMBEYLI,Bugday (Diger) Sulu,   300,9.67,14.81,4.37,62.17,63.0,5.92,8.55,89.147,1050.0
ADANA,TUFANBEYLI,Bugday (Durum) Kuru,   200,8.04,12.88,3.03,59.67,49.25,5.83,8.41,85.432,1399.0
ADANA,TUFANBEYLI,Bugday (Durum) Sulu,   250,8.04,12.88,3.03,59.67,49.25,5.83,8.41,85.432,1399.0
ADANA,TUFANBEYLI,Bugday (Diger) Kuru,   200,8.04,12.88,3.03,59.67,49.25,5.83,8.41,85.432,1399.0
ADANA,TUFANBEYLI,Bugday (Diger) Sulu,   250,8.04,12.88,3.03,59.67,49.25,5.83,8.41,85.432,1399.0
ADANA,YUMURTALIK,Bugday (Durum) Kuru,   350,18.82,22.21,15.61,70.0,77.67,5.83,9.36,101.14,15.0
ADANA,YUMURTALIK,Bugday (Durum) Sulu,   500,18.82,22.21,15.61,70.0,77.67,5.83,9.36,101.14,15.0
ADANA,YUMURTALIK,Bugday (Diger) Kuru,   350,18.82,22.21,15.61,70.0,77.67,5.83,9.36,101.14,15.0
ADANA,YUMURTALIK,Bugday (Diger) Sulu,   500,18.82,22.21,15.61,70.0,77.67,5.83,9.36,101.14,15.0
ADANA,SARICAM,Bugday (Durum) Kuru,   270,18.63,24.28,13.63,66.0,78.17,5.67,9.12,100.292,84.0
ADANA,SARICAM,Bugday (Durum) Sulu,   440,18.63,24.28,13.63,66.0,78.17,5.67,9.12,100.292,84.0
ADANA,SARICAM,Bugday (Diger) Kuru,   270,18.63,24.28,13.63,66.0,78.17,5.67,9.12,100.292,84.0
ADANA,SARICAM,Bugday (Diger) Sulu,   440,18.63,24.28,13.63,66.0,78.17,5.67,9.12,100.292,84.0
ADANA,CUKUROVA,Bugday (Durum) Kuru,   324,18.44,24.18,13.37,64.83,60.5,4.92,9.21,99.987,109.0
ADANA,CUKUROVA,Bugday (Durum) Sulu,   450,18.44,24.18,13.37,64.83,60.5,4.92,9.21,99.987,109.0
ADANA,CUKUROVA,Bugday (Diger) Kuru,   324,18.44,24.18,13.37,64.83,60.5,4.92,9.21,99.987,109.0
ADANA,CUKUROVA,Bugday (Diger) Sulu,   450,18.44,24.18,13.37,64.83,60.5,4.92,9.21,99.987,109.0
ADIYAMAN,MERKEZ,Bugday (Durum) Kuru,   230,15.31,21.14,9.19,47.75,48.67,4.25,9.61,93.318,675.0
ADIYAMAN,MERKEZ,Bugday (Durum) Sulu,   421,15.31,21.14,9.19,47.75,48.67,4.25,9.61,93.318,675.0
ADIYAMAN,MERKEZ,Bugday (Diger) Kuru,   248,15.31,21.14,9.19,47.75,48.67,4.25,9.61,93.318,675.0
ADIYAMAN,MERKEZ,Bugday (Diger) Sulu,   432,15.31,21.14,9.19,47.75,48.67,4.25,9.61,93.318,675.0
ADIYAMAN,BESNI,Bugday (Durum) Kuru,   230,14.53,20.64,7.8,49.5,55.92,4.75,9.54,90.748,904.0
ADIYAMAN,BESNI,Bugday (Durum) Sulu,   400,14.53,20.64,7.8,49.5,55.92,4.75,9.54,90.748,904.0
ADIYAMAN,BESNI,Bugday (Diger) Kuru,   238,14.53,20.64,7.8,49.5,55.92,4.75,9.54,90.748,904.0
ADIYAMAN,BESNI,Bugday (Diger) Sulu,   440,14.53,20.64,7.8,49.5,55.92,4.75,9.54,90.748,904.0
ADIYAMAN,CELIKHAN,Bugday (Durum) Kuru,   200,10.4,15.35,4.9,52.67,75.92,6.25,9.14,85.547,1388.0
ADIYAMAN,CELIKHAN,Bugday (Durum) Sulu,   324,10.4,15.35,4.9,52.67,75.92,6.25,9.14,85.547,1388.0
ADIYAMAN,CELIKHAN,Bugday (Diger) Kuru,   200,10.4,15.35,4.9,52.67,75.92,6.25,9.14,85.547,1388.0
ADIYAMAN,CELIKHAN,Bugday (Diger) Sulu,   324,10.4,15.35,4.9,52.67,75.92,6.25,9.14,85.547,1388.0
ADIYAMAN,GERGER,Bugday (Durum) Kuru,   245,14.06,19.37,8.05,51.25,61.25,4.92,9.43,92.131,780.0
ADIYAMAN,GERGER,Bugday (Durum) Sulu,   410,14.06,19.37,8.05,51.25,61.25,4.92,9.43,92.131,780.0
ADIYAMAN,GERGER,Bugday (Diger) Kuru,   245,14.06,19.37,8.05,51.25,61.25,4.92,9.43,92.131,780.0
ADIYAMAN,GERGER,Bugday (Diger) Sulu,   410,14.06,19.37,8.05,51.25,61.25,4.92,9.43,92.131,780.0
ADIYAMAN,GOLBASI,Bugday (Durum) Kuru,   238,13.05,18.72,6.52,52.0,55.92,4.75,9.54,90.848,895.0
ADIYAMAN,GOLBASI,Bugday (Durum) Sulu,   400,13.05,18.72,6.52,52.0,55.92,4.75,9.54,90.848,895.0
ADIYAMAN,GOLBASI,Bugday (Diger) Sulu,   400,13.05,18.72,6.52,52.0,55.92,4.75,9.54,90.848,895.0
ADIYAMAN,GOLBASI,Bugday (Diger) Kuru,   245,13.05,18.72,6.52,52.0,55.92,4.75,9.54,90.848,895.0
ADIYAMAN,KAHTA,Bugday (Durum) Kuru,   230,16.28,22.18,10.18,48.83,46.83,4.17,9.68,92.469,750.0
ADIYAMAN,KAHTA,Bugday (Durum) Sulu,   421,16.28,22.18,10.18,48.83,46.83,4.17,9.68,92.469,750.0
ADIYAMAN,KAHTA,Bugday (Diger) Kuru,   248,16.28,22.18,10.18,48.83,46.83,4.17,9.68,92.469,750.0
ADIYAMAN,KAHTA,Bugday (Diger) Sulu,   450,16.28,22.18,10.18,48.83,46.83,4.17,9.68,92.469,750.0
ADIYAMAN,SAMSAT,Bugday (Durum) Kuru,   230,16.84,21.65,11.93,54.83,47.75,4.08,9.36,94.176,600.0
ADIYAMAN,SAMSAT,Bugday (Durum) Sulu,   410,16.84,21.65,11.93,54.83,47.75,4.08,9.36,94.176,600.0
ADIYAMAN,SAMSAT,Bugday (Diger) Kuru,   238,16.84,21.65,11.93,54.83,47.75,4.08,9.36,94.176,600.0
ADIYAMAN,SAMSAT,Bugday (Diger) Sulu,   410,16.84,21.65,11.93,54.83,47.75,4.08,9.36,94.176,600.0
ADIYAMAN,SINCIK,Bugday (Durum) kuru,   200,13.53,18.64,7.74,51.67,73.08,6.17,9.24,86.039,1341.0
ADIYAMAN,SINCIK,Bugday (Durum) Sulu,   320,13.53,18.64,7.74,51.67,73.08,6.17,9.24,86.039,1341.0
ADIYAMAN,SINCIK,Bugday (Diger) Kuru,   200,13.53,18.64,7.74,51.67,73.08,6.17,9.24,86.039,1341.0
ADIYAMAN,SINCIK,Bugday (Diger) Sulu,   320,13.53,18.64,7.74,51.67,73.08,6.17,9.24,86.039,1341.0
ADIYAMAN,TUT,Bugday (Durum) Kuru,   216,13.77,19.65,7.23,48.25,49.5,4.17,9.66,87.895,1166.0
ADIYAMAN,TUT,Bugday (Durum) Sulu,   410,13.77,19.65,7.23,48.25,49.5,4.17,9.66,87.895,1166.0
ADIYAMAN,TUT,Bugday (Diger) Kuru,   238,13.77,19.65,7.23,48.25,49.5,4.17,9.66,87.895,1166.0
ADIYAMAN,TUT,Bugday (Diger) Sulu,   410,13.77,19.65,7.23,48.25,49.5,4.17,9.66,87.895,1166.0
AGRI,MERKEZ,Bugday (Durum) Kuru,   150,7.55,13.79,1.32,62.83,50.83,7.42,8.98,82.928,1643.0
AGRI,MERKEZ,Bugday (Durum) Sulu,   200,7.55,13.79,1.32,62.83,50.83,7.42,8.98,82.928,1643.0
AGRI,MERKEZ,Bugday (Diger) Kuru,   150,7.55,13.79,1.32,62.83,50.83,7.42,8.98,82.928,1643.0
AGRI,MERKEZ,Bugday (Diger) Sulu,   200,7.55,13.79,1.32,62.83,50.83,7.42,8.98,82.928,1643.0
AGRI,DIYADIN,Bugday (Durum) Kuru,   140,5.26,11.12,-0.64,64.5,65.0,8.75,8.72,80.183,1919.0
AGRI,DIYADIN,Bugday (Durum) Sulu,   170,5.26,11.12,-0.64,64.5,65.0,8.75,8.72,80.183,1919.0
AGRI,DIYADIN,Bugday (Diger) Kuru,   140,5.26,11.12,-0.64,64.5,65.0,8.75,8.72,80.183,1919.0
AGRI,DIYADIN,Bugday (Diger) Sulu,   170,5.26,11.12,-0.64,64.5,65.0,8.75,8.72,80.183,1919.0
AGRI,DOGUBAYAZIT,Bugday (Durum) Kuru,   150,8.22,13.83,2.41,57.42,41.0,7.0,9.12,83.364,1600.0
AGRI,DOGUBAYAZIT,Bugday (Durum) Sulu,   200,8.22,13.83,2.41,57.42,41.0,7.0,9.12,83.364,1600.0
AGRI,DOGUBAYAZIT,Bugday (Diger) Kuru,   150,8.22,13.83,2.41,57.42,41.0,7.0,9.12,83.364,1600.0
AGRI,DOGUBAYAZIT,Bugday (Diger) Sulu,   200,8.22,13.83,2.41,57.42,41.0,7.0,9.12,83.364,1600.0
AGRI,ELESKIRT,Bugday (Durum) Kuru,   140,5.71,11.43,0.14,62.42,71.83,8.83,8.77,81.285,1807.0
AGRI,ELESKIRT,Bugday (Durum) Sulu,   180,5.71,11.43,0.14,62.42,71.83,8.83,8.77,81.285,1807.0
AGRI,ELESKIRT,Bugday (Diger) Kuru,   140,5.71,11.43,0.14,62.42,71.83,8.83,8.77,81.285,1807.0
AGRI,ELESKIRT,Bugday (Diger) Sulu,   180,5.71,11.43,0.14,62.42,71.83,8.83,8.77,81.285,1807.0
AGRI,HAMUR,Bugday (Durum) Kuru,   140,6.62,12.9,0.25,59.42,43.83,6.5,9.21,82.423,1693.0
AGRI,HAMUR,Bugday (Durum) Sulu,   180,6.62,12.9,0.25,59.42,43.83,6.5,9.21,82.423,1693.0
AGRI,HAMUR,Bugday (Diger) Kuru,   140,6.62,12.9,0.25,59.42,43.83,6.5,9.21,82.423,1693.0
AGRI,HAMUR,Bugday (Diger) Sulu,   180,6.62,12.9,0.25,59.42,43.83,6.5,9.21,82.423,1693.0
AGRI,PATNOS,Bugday (Durum) Kuru,   150,8.04,14.15,1.31,59.92,51.42,6.75,9.39,83.008,1635.0
AGRI,PATNOS,Bugday (Durum) Sulu,   250,8.04,14.15,1.31,59.92,51.42,6.75,9.39,83.008,1635.0
AGRI,PATNOS,Bugday (Diger) Kuru,   150,8.04,14.15,1.31,59.92,51.42,6.75,9.39,83.008,1635.0
AGRI,PATNOS,Bugday (Diger) Sulu,   250,8.04,14.15,1.31,59.92,51.42,6.75,9.39,83.008,1635.0
AGRI,TASLICAY,Bugday (Durum) Kuru,   140,6.13,11.74,0.58,65.17,87.0,10.25,8.66,81.842,1751.0
AGRI,TASLICAY,Bugday (Durum) Sulu,   186,6.13,11.74,0.58,65.17,87.0,10.25,8.66,81.842,1751.0
AGRI,TASLICAY,Bugday (Diger) Kuru,   140,6.13,11.74,0.58,65.17,87.0,10.25,8.66,81.842,1751.0
AGRI,TASLICAY,Bugday (Diger) Sulu,   186,6.13,11.74,0.58,65.17,87.0,10.25,8.66,81.842,1751.0
AGRI,TUTAK,Bugday (Durum) Kuru,   154,7.53,13.84,0.9,55.83,40.08,6.17,9.35,83.72,1565.0
AGRI,TUTAK,Bugday (Durum) Sulu,   180,7.53,13.84,0.9,55.83,40.08,6.17,9.35,83.72,1565.0
AGRI,TUTAK,Bugday (Diger) Kuru,   154,7.53,13.84,0.9,55.83,40.08,6.17,9.35,83.72,1565.0
