İl Adı,İlce Kodu,İlce Adı,Ürün Adı,Verim (Kg/Dekar)
ADANA,1,SEYHAN,Buğday (Durum) Kuru,   300
ADANA,1,SEYHAN,Buğday (Durum) Sulu,   500
ADANA,1,SEYHAN,Buğday (Diğer) Kuru,   300
ADANA,1,SEYHAN,Buğday (Diğer) Sulu,   500
ADANA,2,YÜREĞİR,Buğday (Durum) Kuru,   324
ADANA,2,YÜREĞİR,Buğday (Durum) Sulu,   495
ADANA,2,YÜREĞİR,Buğday (Diğer) Kuru,   324
ADANA,2,YÜREĞİR,Buğday (Diğer) Sulu,   495
ADANA,3,ALADAĞ,Buğday (Durum) Kuru,   300
ADANA,3,ALADAĞ,Buğday (Durum) Sulu,   400
ADANA,3,ALADAĞ,Buğday (Diğer) Kuru,   300
ADANA,3,ALADAĞ,Buğday (Diğer) Sulu,   400
ADANA,4,CEYHAN,Buğday (Durum) Kuru,   350
ADANA,4,CEYHAN,Buğday (Durum) Sulu,   500
ADANA,4,CEYHAN,Buğday (Diğer) Kuru,   350
ADANA,4,CEYHAN,Buğday (Diğer) Sulu,   500
ADANA,5,FEKE,Buğday (Durum) Kuru,   200
ADANA,5,FEKE,Buğday (Durum) Sulu,   350
ADANA,5,FEKE,Buğday (Diğer) Kuru,   200
ADANA,5,FEKE,Buğday (Diğer) Sulu,   350
ADANA,6,İMAMOĞLU,Buğday (Durum) Kuru,   324
ADANA,6,İMAMOĞLU,Buğday (Durum) Sulu,   490
ADANA,6,İMAMOĞLU,Buğday (Diğer) Kuru,   324
ADANA,6,İMAMOĞLU,Buğday (Diğer) Sulu,   490
ADANA,7,KARAİSALI,Buğday (Durum) Kuru,   351
ADANA,7,KARAİSALI,Buğday (Durum) Sulu,   420
ADANA,7,KARAİSALI,Buğday (Diğer) Kuru,   351
ADANA,7,KARAİSALI,Buğday (Diğer) Sulu,   420
ADANA,8,KARATAŞ,Buğday (Durum) Kuru,   250
ADANA,8,KARATAŞ,Buğday (Durum) Sulu,   450
ADANA,8,KARATAŞ,Buğday (Diğer) Kuru,   250
ADANA,8,KARATAŞ,Buğday (Diğer) Sulu,   450
ADANA,9,KOZAN,Buğday (Durum) Kuru,   325
ADANA,9,KOZAN,Buğday (Durum) Sulu,   500
ADANA,9,KOZAN,Buğday (Diğer) Kuru,   325
ADANA,9,KOZAN,Buğday (Diğer) Sulu,   500
ADANA,10,POZANTI,Buğday (Durum) Kuru,   200
ADANA,10,POZANTI,Buğday (Durum) Sulu,   300
ADANA,10,POZANTI,Buğday (Diğer) Kuru,   200
ADANA,10,POZANTI,Buğday (Diğer) Sulu,   300
ADANA,11,SAİMBEYLİ,Buğday (Durum) Kuru,   220
ADANA,11,SAİMBEYLİ,Buğday (Durum) Sulu,   300
ADANA,11,SAİMBEYLİ,Buğday (Diğer) Kuru,   220
ADANA,11,SAİMBEYLİ,Buğday (Diğer) Sulu,   300
ADANA,12,TUFANBEYLİ,Buğday (Durum) Kuru,   200
ADANA,12,TUFANBEYLİ,Buğday (Durum) Sulu,   250
ADANA,12,TUFANBEYLİ,Buğday (Diğer) Kuru,   200
ADANA,12,TUFANBEYLİ,Buğday (Diğer) Sulu,   250
ADANA,13,YUMURTALIK,Buğday (Durum) Kuru,   350
ADANA,13,YUMURTALIK,Buğday (Durum) Sulu,   500
ADANA,13,YUMURTALIK,Buğday (Diğer) Kuru,   350
ADANA,13,YUMURTALIK,Buğday (Diğer) Sulu,   500
ADANA,14,SARIÇAM,Buğday (Durum) Kuru,   270
ADANA,14,SARIÇAM,Buğday (Durum) Sulu,   440
ADANA,14,SARIÇAM,Buğday (Diğer) Kuru,   270
ADANA,14,SARIÇAM,Buğday (Diğer) Sulu,   440
ADANA,15,ÇUKUROVA,Buğday (Durum) Kuru,   324
ADANA,15,ÇUKUROVA,Buğday (Durum) Sulu,   450
ADANA,15,ÇUKUROVA,Buğday (Diğer) Kuru,   324
ADANA,15,ÇUKUROVA,Buğday (Diğer) Sulu,   450
ADIYAMAN,0,MERKEZ,Buğday (Durum) Kuru,   230
ADIYAMAN,0,MERKEZ,Buğday (Durum) Sulu,   421
ADIYAMAN,0,MERKEZ,Buğday (Diğer) Kuru,   248
ADIYAMAN,0,MERKEZ,Buğday (Diğer) Sulu,   432
ADIYAMAN,1,BESNİ,Buğday (Durum) Kuru,   230
ADIYAMAN,1,BESNİ,Buğday (Durum) Sulu,   400
ADIYAMAN,1,BESNİ,Buğday (Diğer) Kuru,   238
ADIYAMAN,1,BESNİ,Buğday (Diğer) Sulu,   440
ADIYAMAN,2,ÇELİKHAN,Buğday (Durum) Kuru,   200
ADIYAMAN,2,ÇELİKHAN,Buğday (Durum) Sulu,   324
ADIYAMAN,2,ÇELİKHAN,Buğday (Diğer) Kuru,   200
ADIYAMAN,2,ÇELİKHAN,Buğday (Diğer) Sulu,   324
ADIYAMAN,3,GERGER,Buğday (Durum) Kuru,   245
ADIYAMAN,3,GERGER,Buğday (Durum) Sulu,   410
ADIYAMAN,3,GERGER,Buğday (Diğer) Kuru,   245
ADIYAMAN,3,GERGER,Buğday (Diğer) Sulu,   410
ADIYAMAN,4,GÖLBAŞI,Buğday (Durum) Kuru,   238
ADIYAMAN,4,GÖLBAŞI,Buğday (Durum) Sulu,   400
ADIYAMAN,4,GÖLBAŞI,Buğday (Diğer) Sulu,   400
