Yýl;Ýl Kodu;Ýl Adý;Ýlce Kodu;Ýlce Adý;Ürün Adý;Ekilen Alan(dekar);Hasat Edilen Alan(dekar);Üretim Miktari(ton);Verim (Kg/Dekar);Rakým (m);Ortalama Sýcaklýk (°C);Nem Oraný (%);Yaðýþ Oraný (mm);Güneþ Iþýðý (saat/gün);;;;;
2012;1;ADANA;1;SEYHAN;Buðday (Durum) Kuru;;;;   300;28;18.7;66;625;9;;;;;
2012;1;ADANA;1;SEYHAN;Buðday (Durum) Sulu;;;;   500;28;18.7;66;625;9;;;;;
2012;1;ADANA;1;SEYHAN;Buðday (Diðer) Kuru;   ;   ;   ;   300;28;18.7;66;625;9;;;;;
2012;1;ADANA;1;SEYHAN;Buðday (Diðer) Sulu;  10 000;  10 000;  5 000;   500;28;18.7;66;625;9;;;;;
2012;1;ADANA;2;YÜREÐÝR;Buðday (Durum) Kuru;;;;   324;28;18.7;66;625;9;;;;;
2012;1;ADANA;2;YÜREÐÝR;Buðday (Durum) Sulu;;;;   495;28;18.7;66;625;9;;;;;
2012;1;ADANA;2;YÜREÐÝR;Buðday (Diðer) Kuru;  2 708;  2 708;   877;   324;28;18.7;66;625;9;;;;;
2012;1;ADANA;2;YÜREÐÝR;Buðday (Diðer) Sulu;  94 795;  94 795;  46 924;   495;28;18.7;66;625;9;;;;;
2012;1;ADANA;3;ALADAÐ;Buðday (Durum) Kuru;;;;   300;967;12.0;70;805;8;;;;;
2012;1;ADANA;3;ALADAÐ;Buðday (Durum) Sulu;;;;   400;967;12.0;70;805;8;;;;;
2012;1;ADANA;3;ALADAÐ;Buðday (Diðer) Kuru;  41 665;  41 665;  12 500;   300;967;12.0;70;805;8;;;;;
2012;1;ADANA;3;ALADAÐ;Buðday (Diðer) Sulu;   350;   350;   140;   400;967;12.0;70;805;8;;;;;
2012;1;ADANA;4;CEYHAN;Buðday (Durum) Kuru;;;;   350;29;18.7;66;625;9;;;;;
2012;1;ADANA;4;CEYHAN;Buðday (Durum) Sulu;;;;   500;29;18.7;66;625;9;;;;;
2012;1;ADANA;4;CEYHAN;Buðday (Diðer) Kuru;   ;   ;   ;   350;29;18.7;66;625;9;;;;;
2012;1;ADANA;4;CEYHAN;Buðday (Diðer) Sulu;  451 405;  451 405;  225 703;   500;29;18.7;66;625;9;;;;;
2012;1;ADANA;5;FEKE;Buðday (Durum) Kuru;;;;   200;555;14.0;70;930.5;8;;;;;
2012;1;ADANA;5;FEKE;Buðday (Durum) Sulu;;;;   350;555;14.0;70;930.5;8;;;;;
2012;1;ADANA;5;FEKE;Buðday (Diðer) Kuru;  43 335;  43 335;  8 667;   200;555;14.0;70;930.5;8;;;;;
2012;1;ADANA;5;FEKE;Buðday (Diðer) Sulu;   ;   ;   ;   350;555;14.0;70;930.5;8;;;;;
2012;1;ADANA;6;ÝMAMOÐLU;Buðday (Durum) Kuru;;;;   324;76;18.7;66;625;9;;;;;
2012;1;ADANA;6;ÝMAMOÐLU;Buðday (Durum) Sulu;;;;   490;76;18.7;66;625;9;;;;;
2012;1;ADANA;6;ÝMAMOÐLU;Buðday (Diðer) Kuru;  117 365;  117 365;  38 026;   324;76;18.7;66;625;9;;;;;
2012;1;ADANA;6;ÝMAMOÐLU;Buðday (Diðer) Sulu;  108 337;  108 337;  53 085;   490;76;18.7;66;625;9;;;;;
2012;1;ADANA;7;KARAÝSALI;Buðday (Durum) Kuru;;;;   351;270;16.5;68;700;8;;;;;
2012;1;ADANA;7;KARAÝSALI;Buðday (Durum) Sulu;;;;   420;270;16.5;68;700;8;;;;;
2012;1;ADANA;7;KARAÝSALI;Buðday (Diðer) Kuru;  104 329;  104 329;  36 619;   351;270;16.5;68;700;8;;;;;
2012;1;ADANA;7;KARAÝSALI;Buðday (Diðer) Sulu;   ;   ;   ;   420;270;16.5;68;700;8;;;;;
2012;1;ADANA;8;KARATAÞ;Buðday (Durum) Kuru;;;;   250;10;18.7;66;625;9;;;;;
2012;1;ADANA;8;KARATAÞ;Buðday (Durum) Sulu;;;;   450;10;18.7;66;625;9;;;;;
2012;1;ADANA;8;KARATAÞ;Buðday (Diðer) Kuru;   ;   ;   ;   250;10;18.7;66;625;9;;;;;
2012;1;ADANA;8;KARATAÞ;Buðday (Diðer) Sulu;  117 365;  117 365;  52 814;   450;10;18.7;66;625;9;;;;;
2012;1;ADANA;9;KOZAN;Buðday (Durum) Kuru;;;;   325;137;18.0;68;700;8;;;;;
2012;1;ADANA;9;KOZAN;Buðday (Durum) Sulu;;;;   500;137;18.0;68;700;8;;;;;
2012;1;ADANA;9;KOZAN;Buðday (Diðer) Kuru;  191 371;  191 371;  62 196;   325;137;18.0;68;700;8;;;;;
2012;1;ADANA;9;KOZAN;Buðday (Diðer) Sulu;  156 889;  156 889;  78 445;   500;137;18.0;68;700;8;;;;;
2012;1;ADANA;10;POZANTI;Buðday (Durum) Kuru;  3 200;  3 200;   640;   200;783;12.5;72;800;8;;;;;
2012;1;ADANA;10;POZANTI;Buðday (Durum) Sulu;  3 000;  3 000;   900;   300;783;12.5;72;800;8;;;;;
2012;1;ADANA;10;POZANTI;Buðday (Diðer) Kuru;  2 500;  2 500;   500;   200;783;12.5;72;800;8;;;;;
2012;1;ADANA;10;POZANTI;Buðday (Diðer) Sulu;  1 500;  1 500;   450;   300;783;12.5;72;800;8;;;;;
2012;1;ADANA;11;SAÝMBEYLÝ;Buðday (Durum) Kuru;;;;   220;971;12.0;70;805;8;;;;;
2012;1;ADANA;11;SAÝMBEYLÝ;Buðday (Durum) Sulu;;;;   300;971;12.0;70;805;8;;;;;
2012;1;ADANA;11;SAÝMBEYLÝ;Buðday (Diðer) Kuru;  39 000;  39 000;  8 580;   220;971;12.0;70;805;8;;;;;
